WKT,name,description
"POINT (47.961226 29.241057 0.0)",15R,
"POINT (47.982863 29.242209 0.0)",15L,
"POINT (47.999105 29.211612 0.0)",33R,
"POINT (47.976579 29.212162 0.0)",33L,
"POINT (47.92932 29.301583 0.0)",ARR1,
"POINT (47.949978 29.302269 0.0)",ARR2,
"POINT (48.03102 29.151143 0.0)",ARR3,
"POINT (48.008649 29.151739 0.0)",ARR4,
"POINT (47.923535 29.337404 0.0)",KUA01,
"POINT (48.050556 29.121864 0.0)",KUA02,
