WKT,name,description
"POINT (47.015556 29.188056 0.0)",BUBER,BUBER (Fix)
"POINT (48.05411 29.105568 0.0)",KUA40,
"POINT (48.039849 29.094542 0.0)",KUA41,
"POINT (47.904472 29.336623 0.0)",KUA42,
"POINT (47.89612 29.321677 0.0)",KUA43,
"POINT (47.053089 29.182506 0.0)",KUA44,
