WKT,name,description
"POINT (48.180556 28.538889 7925.0)",KUNRU,KUNRU (Fix)
"POINT (47.93216 29.35227 0.0)",KUA27,
"POINT (47.94929 29.35956 0.0)",KUA28,
"POINT (47.96505 29.34998 0.0)",KUA29,
"POINT (48.173362 28.57152 0.0)",KUA30,
