WKT,name,description
"POINT (47.490278 28.991389 0.0)",BONIM,BONIM (Fix)
"POINT (48.05411 29.105568 0.0)",KUA35,
"POINT (48.039849 29.094542 0.0)",KUA36,
"POINT (47.904472 29.336623 0.0)",KUA37,
"POINT (47.89612 29.321677 0.0)",KUA38,
"POINT (47.517915 29.014226 0.0)",KUA39,
