WKT,name,description
"POINT (48.792778 28.803889 7925.0)",BOXIK,BOXIK (Fix)
"POINT (47.93216 29.35227 0.0)",KUA15,
"POINT (47.949292 29.359568 0.0)",KUA16,
"POINT (47.964942 29.350079 0.0)",KUA17,
"POINT (48.760844 28.821912 0.0)",KUA18,
