WKT,name,description
"POINT (48.372222 28.538889 7925.0)",ASVIR,ASVIR (Fix)
"POINT (47.93216 29.35227 0.0)",KUA23,
"POINT (47.94929 29.35956 0.0)",KUA24,
"POINT (47.96505 29.34998 0.0)",KUA25,
"POINT (48.354191 28.568212 0.0)",KUA26,
