WKT,name,description
"POINT (48.913889 29.15 7925.0)",SESRU,SESRU (Fix)
"POINT (47.93216 29.35227 0.0)",KUA12,
"POINT (47.949382 29.359517 0.0)",KUA13,
"POINT (48.875924 29.152683 0.0)",KUA14,
