WKT,name,description
"POINT (48.490278 28.735278 7925.0)",DEBTI,DEBTI (Fix)
"POINT (47.93216 29.35227 0.0)",KUA19,
"POINT (47.94929 29.35956 0.0)",KUA20,
"POINT (47.96505 29.349981 0.0)",KUA21,
"POINT (48.462993 28.758375 0.0)",KUA22,
