WKT,name,description
"POINT (48.305278 29.436389 5517.0)",RALKA,RALKA (Fix)
"POINT (48.069597 29.122474 0.0)",KUA03,
"POINT (48.079408 29.136753 0.0)",KUA04,
"POINT (47.932161 29.352275 0.0)",KUA05,
"POINT (47.950751 29.355897 0.0)",KUA06,
"POINT (48.272633 29.418749 0.0)",KUA07,
